EC-Lab ASCII FILE
Nb header lines : 53                          

Cyclic Voltammetry

Run on channel : 1 (SN 24330)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/05/2017 17:30:03
Saved on :
	File : Co_13_200mV_01_CV_02_CV_02_CV_C01.mpr
	Directory : C:\Users\usuario\Documents\EC-Lab\Data\Federico\R=H\CO2 reduction\CV_scan rates CO2_0,4 mM_GC 1mm_5-10-2017\
	Host : 192.168.1.115
Device : VSP (SN 1463)
Address : USB
EC-Lab for windows v11.10 (software)
Internet server v11.10 (firmware)
Command interpretor v11.10 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Ei (V)              0,100               
vs.                 Ref                 
dE/dt               200,000             
dE/dt unit          mV/s                
E1 (V)              -1,870              
vs.                 Ref                 
Step percent        50                  
N                   20                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	0	0	1	0	3,1075	-0,0668762028	-0,067644909	-0,0001035394198010053	1	-6,07287944E-008	338,910034	7,00391478E-009
2	0	0	1	0	3,1195	-0,0692761987	-0,0700320601	-0,00010449926156503262	1	-6,19474463E-008	338,910034	7,31829841E-009
2	0	0	1	0	3,1315	-0,0716762021	-0,0724277496	-0,00010582846885111834	1	-6,31760528E-008	338,910034	7,66491759E-009
2	0	0	1	0	3,1435	-0,074076198	-0,0748224109	-0,00010614423112243477	1	-6,44122977E-008	338,910034	7,94196708E-009
2	0	0	1	0	3,1555	-0,0764762014	-0,0772734061	-0,0001075781289135813	1	-6,56600889E-008	338,910034	8,31292812E-009
2	0	0	1	0	3,1675	-0,0788762048	-0,0795971975	-0,00010709653542618397	1	-6,69173943E-008	338,910034	8,52458371E-009
2	0	0	1	0	3,1795	-0,0812762007	-0,0820260644	-0,0001083126672828615	1	-6,81848675E-008	338,910034	8,88446205E-009
2	0	0	1	0	3,1915	-0,0836762115	-0,0844222531	-0,00010921053318138813	1	-6,94627573E-008	338,910034	9,21979915E-009
2	0	0	1	0	3,2035	-0,0860762149	-0,0868234709	-0,00011011091397237984	1	-7,07464736E-008	338,910034	9,56021218E-009
2	0	0	1	0	3,2155	-0,0884762108	-0,0892141163	-0,00011122737626229757	1	-7,20402085E-008	338,910034	9,92305171E-009
2	0	0	1	0	3,2275	-0,0908762142	-0,0915746242	-0,00011105149386674122	1	-7,33438839E-008	338,910034	1,0169499E-008
2	0	0	1	0	3,2395	-0,0932762176	-0,0940034762	-0,00011234719846199126	1	-7,46585656E-008	338,910034	1,05610276E-008
2	0	0	1	0	3,2515	-0,095676221	-0,0964142531	-0,0001135298326475037	1	-7,59826833E-008	338,910034	1,0945894E-008
2	0	0	1	0	3,2635	-0,0980762243	-0,0988059118	-0,0001136973442512811	1	-7,73133024E-008	338,910034	1,12339702E-008
2	0	0	1	0	3,2755	-0,100476228	-0,101237297	-0,00011504581471243838	1	-7,86533292E-008	338,910034	1,1646927E-008
2	0	0	1	0	3,2875	-0,102876231	-0,103624441	-0,00011566477582335728	1	-8,00033888E-008	338,910034	1,19856978E-008
2	0	0	1	0	3,2995	-0,105276234	-0,106051311	-0,00011638004415895894	1	-8,13626997E-008	338,910034	1,23422561E-008
2	0	0	1	0	3,3115	-0,10767623	-0,108439937	-0,00011707103486682325	1	-8,27294286E-008	338,910034	1,26951756E-008
2	0	0	1	0	3,3235	-0,110076249	-0,110821038	-0,0001175434212351919	1	-8,41056291E-008	338,910034	1,30262841E-008
2	0	0	1	0	3,3355	-0,11247623	-0,113193117	-0,00011912221734926147	1	-8,5489873E-008	338,910034	1,3483815E-008
2	0	0	1	0	3,3475	-0,114876248	-0,115618967	-0,00011867496327536013	1	-8,68845618E-008	338,910034	1,37210767E-008
2	0	0	1	0	3,3595	-0,117276251	-0,118041284	-0,00011946812858759734	1	-8,82848283E-008	338,910034	1,4102171E-008
2	0	0	1	0	3,3715	-0,11967624	-0,120384194	-0,00012032746876126064	1	-8,96948862E-008	338,910034	1,44855257E-008
2	0	0	1	0	3,3835	-0,122076251	-0,122841187	-0,00012094307619523294	1	-9,11132858E-008	338,910034	1,48567914E-008
2	0	0	1	0	3,3955	-0,124476232	-0,125259519	-0,00012234180360038478	1	-9,25404819E-008	338,910034	1,53244759E-008
2	0	0	1	0	3,4075	-0,12687625	-0,127622008	-0,00012240880944378507	1	-9,39736822E-008	338,910034	1,56220583E-008
2	0	0	1	0	3,4195	-0,129276246	-0,129965916	-0,00012355123597648093	1	-9,54156434E-008	338,910034	1,60574487E-008
2	0	0	1	0	3,4315	-0,131676242	-0,132415906	-0,00012357469261272368	1	-9,68654987E-008	338,910034	1,63632556E-008
2	0	0	1	0	3,4435	-0,134076238	-0,134805813	-0,00012418862513641216	1	-9,83216069E-008	338,910034	1,67413479E-008
2	0	0	1	0	3,4555	-0,136476249	-0,137204498	-0,00012582857316912906	1	-9,97854954E-008	338,910034	1,72642469E-008
2	0	0	1	0	3,4675	-0,138876244	-0,139621541	-0,0001254072696676636	1	-1,01257086E-007	338,910034	1,75095565E-008
2	0	0	1	0	3,4795	-0,14127624	-0,141999409	-0,00012639056120733286	1	-1,02736195E-007	338,910034	1,79473858E-008
2	0	0	1	0	3,4915	-0,143676236	-0,14439334	-0,00012617195917547939	1	-1,04223048E-007	338,910034	1,82183904E-008
